DATE,LOCATION,$LOSS,$RECOVERED,OFFICER,THEFT_TYPE
"01-01-2010","1900 BLOCK W O ST",17,17,"1584 FISHER","LARC-OTHER"
"01-01-2010","4600 BLOCK COOPER AVE",1000,0,"1599 GENOWAYS","LARC-FROM BUILDING"
"01-01-2010","2300 BLOCK R ST",150,0,"1601 ELIAS","LARC-FROM BUILDING"
"01-01-2010","1900 BLOCK W O ST",203,0,"1413 BOND","LARC-FROM BUILDING"
"01-01-2010","1900 BLOCK W O ST",3803,3803,"619 ASHLEY","AUTO THEFT"
"01-01-2010","1400 BLOCK INDIGO RD",240,0,"1399 DOMANSKI","LARC-FROM BUILDING"
"01-01-2010","6100 BLOCK S 43RD ST",8200,8200,"1549 WAMBOLD","LARC-FROM BUILDING"
"01-01-2010","4600 BLOCK PIONEERS BLVD",409,0,"805 PUCKET","LARC-FROM BUILDING"
"01-01-2010","2400 BLOCK N 44TH ST",50,0,"1645 HAUSER","LARC-FROM MOTOR VEH"
"01-01-2010","6100 BLOCK O ST",79,79,"1586 MARTIN","LARC-SHOPLIFT"
"01-01-2010","6100 BLOCK O ST",318,318,"1586 MARTIN","LARC-SHOPLIFT"
"01-01-2010","2600 BLOCK CORNHUSKER HWY",1,0,"963 MANGELS","LARC-SHOPLIFT"
"01-01-2010","4700 BLOCK CANTERBURY LN",200,200,"1290 WITZEL","LARC-FROM BUILDING"
"01-01-2010","3300 BLOCK HOLDREGE ST",26,26,"1517 WUNDERLICH","LARC-SHOPLIFT"
"01-01-2010","1400 BLOCK S 17TH ST",42,0,"1550 HEIN","LARC-SELF SERVE GAS"
"01-01-2010","1700 BLOCK WASHINGTON ST",7,7,"1393 WOLF","LARC-SHOPLIFT"
"01-02-2010","4000 BLOCK PROGRESSIVE AVE",2000,2000,"1466 ROH","LARC-OTHER"
"01-02-2010","2500 BLOCK Q ST",250,0,"1442 PAVELKA","LARC-FROM BUILDING"
"01-02-2010","1900 BLOCK S 13TH ST",0,0,"566 WITTWER","LARC-FROM MOTOR VEH"
"01-02-2010","5000 BLOCK N 27TH ST",10,10,"957 BRANDL","PURSE SNATCH"
"01-02-2010","8300 BLOCK ROCKLEDGE RD",284,0,"926 RICHARDSON","LARC-FROM MOTOR VEH"
"01-02-2010","2400 BLOCK N ST",19,0,"1346 LORE","LARC-SHOPLIFT"
"01-02-2010","400 BLOCK N 48TH ST",160,0,"1645 HAUSER","LARC-SHOPLIFT"
"01-02-2010","8300 BLOCK NORTHWOODS DR",33,0,"1586 MARTIN","LARC-SELF SERVE GAS"
"01-02-2010","900 BLOCK SOUTH ST",17,17,"1550 HEIN","LARC-SELF SERVE GAS"
"01-02-2010","500 BLOCK S 70TH ST",60,0,"1614 CARMICHAEL","LARC-FROM BUILDING"
"01-02-2010","1800 BLOCK SW 11TH ST",21,21,"1634 PULEC","LARC-SHOPLIFT"
"01-02-2010","4200 BLOCK INDUSTRIAL AV",50,0,"1623 DLOUHY","LARC-FROM BUILDING"
"01-03-2010","2700 BLOCK N 49TH ST",146,0,"1596 DILSAVER","LARC-FROM BUILDING"
"01-03-2010","900 BLOCK S 24TH ST",10,0,"244 CLELAND","LARC-VEH.ACCESS."
"01-03-2010","800 BLOCK S 46TH ST",1115,200,"1594 JACOBS","LARC-FROM BUILDING"
"01-03-2010","500 BLOCK S 70TH ST",372,0,"355 KUBICEK","LARC-FROM BUILDING"
"01-03-2010","4100 BLOCK N 60TH ST",20,0,"1391 FOSTER","LARC-FROM BUILDING"
"01-03-2010","3300 BLOCK N ST",11,11,"1594 JACOBS","LARC-FROM BUILDING"
"01-03-2010","2800 BLOCK HOLDREGE ST",205,0,"1442 PAVELKA","LARC-FROM BUILDING"
"01-03-2010","1300 BLOCK O ST",200,0,"1165 DANSON","LARC-FROM BUILDING"
"01-03-2010","1400 BLOCK S 17TH ST",32,0,"1165 DANSON","LARC-SELF SERVE GAS"
"01-03-2010","4600 BLOCK VINE ST",62,62,"1586 MARTIN","LARC-SHOPLIFT"
"01-03-2010","2300 BLOCK S 16TH ST",16,16,"1426 SCHREINER","LARC-FROM BUILDING"
"01-03-2010","3400 BLOCK N 27TH ST",14,14,"1425 PICKERING","LARC-SHOPLIFT"
"01-03-2010","3500 BLOCK N 27TH ST",23,23,"1425 PICKERING","LARC-SHOPLIFT"
"01-03-2010","900 BLOCK W O ST",2700,2700,"1439 GOODWIN","AUTO THEFT"
"01-03-2010","1500 BLOCK SUPERIOR ST",239,1,"1637 JOCHUM","LARC-FROM BUILDING"
"01-03-2010","3400 BLOCK N 85TH ST",83,83,"1609 LOGEMANN","LARC-SHOPLIFT"
"01-03-2010","5900 BLOCK HAVELOCK AVE",100,0,"1621 SCHAMBER","LARC-FROM BUILDING"
"01-04-2010","7600 BLOCK ALI DR",50,0,"1379 BROWNELL","LARC-FROM MOTOR VEH"
"01-04-2010","2000 BLOCK J ST",910,0,"941 PRATT","LARC-VEH.ACCESS."
"01-04-2010","1600 BLOCK CORNHUSKER HWY",100,0,"763 HOEFER","LARC-VEH.ACCESS."
"01-04-2010","3900 BLOCK N 27TH ST",125,0,"927 ROBERTS","LARC-FROM BUILDING"
"01-04-2010","7000 BLOCK S 14TH ST",170,0,"925 BLOWERS","LARC-FROM BUILDING"
"01-04-2010","7000 BLOCK S 14TH ST",195,0,"925 BLOWERS","LARC-FROM BUILDING"
"01-04-2010","",15,0,"597 BURDA","LARC-VEH.ACCESS."
"01-04-2010","2400 BLOCK VINE ST",20000,20000,"1361 AKSAMIT","AUTO THEFT"
"01-04-2010","4200 BLOCK N 61ST ST",7,0,"1613 DOLBERG","LARC-FROM BUILDING"
"01-04-2010","",10,0,"1355 JUNKER","LARC-VEH.ACCESS."
"01-04-2010","700 BLOCK CHARLESTON AV",6,0,"1640 FISHER","LARC-FROM BUILDING"
"01-04-2010","100 BLOCK S 66TH ST",70,70,"1536 WINTERBAUER","LARC-SHOPLIFT"
"01-04-2010","1200 BLOCK Q ST",95,0,"1436 HARMON","LARC-FROM BUILDING"
"01-04-2010","800 BLOCK S 11TH ST",150,0,"1556 GRELL","LARC-FROM MOTOR VEH"
"01-05-2010","7000 BLOCK S 31ST PL",10,0,"1528 HUDEC","LARC-FROM MOTOR VEH"
"01-05-2010","3100 BLOCK N 5TH ST",0,0,"1444 MOODY","LARC-VEH.ACCESS."
"01-05-2010","2200 BLOCK J ST",823,0,"1189 STUMBO","LARC-FROM BUILDING"
"01-05-2010","4700 BLOCK N 27TH ST",9,9,"927 ROBERTS","LARC-SHOPLIFT"
"01-05-2010","2200 BLOCK J ST",57,0,"1189 STUMBO","LARC-FROM BUILDING"
"01-05-2010","6100 BLOCK O ST",549,0,"1218 BRODD","LARC-FROM BUILDING"
"01-05-2010","4100 BLOCK S 48TH ST",8,0,"1118 YINDRICK JR.","LARC-SELF SERVE GAS"
"01-05-2010","2200 BLOCK J ST",44,0,"1189 STUMBO","LARC-FROM BUILDING"
"01-05-2010","3500 BLOCK N 27TH ST",14,14,"764 SCHAAF","LARC-SHOPLIFT"
"01-05-2010","200 BLOCK N 48TH ST",1,0,"1251 MCGUIRE","LARC-OTHER"
"01-05-2010","700 BLOCK HILL ST",800,0,"962 PRATT","LARC-FROM BUILDING"
"01-05-2010","100 BLOCK N 28TH ST",40,0,"1512 POWELL","LARC-VEH.ACCESS."
"01-05-2010","4600 BLOCK VINE ST",165,165,"1613 DOLBERG","LARC-SHOPLIFT"
"01-05-2010","4600 BLOCK BRIARPARK DR",1,1,"1604 WIGGINS","LARC-FROM BUILDING"
"01-05-2010","4700 BLOCK N 27TH ST",20,0,"1372 WHITE","LARC-FROM BUILDING"
"01-05-2010","4600 BLOCK VAN DORN ST",182,0,"921 HOLM","LARC-FROM BUILDING"
"01-06-2010","2700 BLOCK W ST",56,0,"1606 HOSE","LARC-SHOPLIFT"
"01-06-2010","2500 BLOCK PINE LAKE RD",40,40,"1205 HERRERA","LARC-SHOPLIFT"
"01-06-2010","2100 BLOCK S 56TH ST",159,149,"1413 BOND","LARC-FROM BUILDING"
"01-06-2010","200 BLOCK S 21ST ST",150,0,"1119 BRIGGS","LARC-VEH.ACCESS."
"01-06-2010","600 BLOCK N 16TH ST",5,0,"1118 YINDRICK JR.","LARC-FROM BUILDING"
"01-06-2010","1600 BLOCK B ST",200,0,"354 GOEHRING","LARC-VEH.ACCESS."
"01-06-2010","2700 BLOCK N 33RD ST",20,0,"1438 HILGER","LARC-VEH.ACCESS."
"01-06-2010","5100 BLOCK N 27TH ST",500,0,"957 BRANDL","LARC-FROM MOTOR VEH"
"01-06-2010","4800 BLOCK O ST",47,0,"1536 WINTERBAUER","LARC-SHOPLIFT"
"01-06-2010","7100 BLOCK A ST",200,0,"1603 SEEMAN","LARC-FROM MOTOR VEH"
"01-06-2010","4800 BLOCK BEAR CREEK RD",15450,0,"1604 WIGGINS","LARC-FROM BUILDING"
"01-06-2010","2500 BLOCK PINE LAKE RD",4,4,"1290 WITZEL","LARC-SHOPLIFT"
"01-06-2010","5600 BLOCK S 56TH ST",6,0,"921 HOLM","LARC-SELF SERVE GAS"
"01-07-2010","5000 BLOCK ST PAUL AVE",35,0,"1180 KENNETT","LARC-FROM MOTOR VEH"
"01-07-2010","4700 BLOCK N 27TH ST",300,0,"643 FLUITT","LARC-FROM MOTOR VEH"
"01-07-2010","8800 BLOCK OAKMONT DR",100,0,"597 BURDA","LARC-OTHER"
"01-07-2010","5900 BLOCK FREMONT ST",20,0,"238 WETZEL","LARC-SELF SERVE GAS"
"01-07-2010","500 BLOCK S 70TH ST",10,0,"1205 HERRERA","LARC-FROM BUILDING"
"01-07-2010","8700 BLOCK ANDERMATT DR",73,34,"3361 KOERNER","LARC-FROM BUILDING"
"01-07-2010","4100 BLOCK O ST",63,0,"1401 WITZEL","LARC-SHOPLIFT"
"01-07-2010","700 BLOCK S 19TH ST",3000,3000,"1589 LOPEZ","AUTO THEFT"
"01-07-2010","1400 BLOCK O ST",110,110,"1568 MESSERSMITH","LARC-FROM BUILDING"
"01-08-2010","3800 BLOCK ST PAUL AVE",250,0,"1218 BRODD","LARC-FROM MOTOR VEH"
"01-08-2010","1800 BLOCK O ST",11,11,"872 CLARKE","LARC-SHOPLIFT"
"01-08-2010","5500 BLOCK PINE LAKE RD",2000,0,"792 HUNT","LARC-FROM BUILDING"
"01-08-2010","3100 BLOCK Y ST",300,0,"1391 FOSTER","LARC-FROM MOTOR VEH"
"01-08-2010","1900 BLOCK EUCLID AVE",50,0,"417 SCISSORS-DOMGARD","LARC-FROM MOTOR VEH"
"01-08-2010","6800 BLOCK BALLARD AVE",50,0,"3370 KINNEY","LARC-OTHER"
"01-08-2010","100 BLOCK N 48TH ST",150,0,"720 MCANDREW","LARC-FROM BUILDING"
"01-08-2010","5800 BLOCK ENTERPRISE DR",61,10,"799 SCOTT","LARC-FROM BUILDING"
"01-08-2010","3700 BLOCK N 70TH ST",30,0,"1618 FIELDS","LARC-SELF SERVE GAS"
"01-08-2010","3400 BLOCK N 27TH ST",20,20,"1273 MAXWELL","LARC-SHOPLIFT"
"01-08-2010","2100 BLOCK KINGSWOOD CIR",1115,25,"1270 MORROW","LARC-FROM MOTOR VEH"
"01-08-2010","6100 BLOCK O ST",573,0,"1642 WILKINSON","LARC-SHOPLIFT"
"01-08-2010","3900 BLOCK A ST",38,0,"1621 SCHAMBER","LARC-SELF SERVE GAS"
"01-08-2010","7100 BLOCK ADAMS ST",675,0,"1613 DOLBERG","LARC-VEH.ACCESS."
"01-08-2010","6100 BLOCK O ST",15,15,"1640 FISHER","LARC-SHOPLIFT"
"01-08-2010","4700 BLOCK N 27TH ST",16,16,"1543 NISSEN","LARC-SHOPLIFT"
"01-08-2010","900 BLOCK W C ST",220,0,"1591 BEASLEY","LARC-FROM BUILDING"
"01-08-2010","4700 BLOCK N 27TH ST",108,0,"1543 NISSEN","LARC-OTHER"
"01-08-2010","1700 BLOCK WASHINGTON ST",1,1,"1307 WAGNER","LARC-SHOPLIFT"
"01-09-2010","1000 BLOCK M ST",70,0,"1404 WILHELM","LARC-FROM BUILDING"
"01-09-2010","1600 BLOCK BLACKHAWK DR",1245,0,"1543 NISSEN","LARC-FROM BUILDING"
"01-09-2010","1600 BLOCK BLACKHAWK DR",600,0,"1543 NISSEN","LARC-FROM BUILDING"
"01-09-2010","3400 BLOCK LAURA AVE",200,0,"1533 ELLEY","LARC-OTHER"
"01-09-2010","600 BLOCK W BUTLER AVE",0,0,"1253 BRENNER","LARC-VEH.ACCESS."
"01-09-2010","4300 BLOCK L ST",55,0,"762 GROVES","LARC-OTHER"
"01-09-2010","1400 BLOCK N COTNER BLVD",16,0,"1291 WIESE","LARC-SELF SERVE GAS"
"01-09-2010","4800 BLOCK N 15TH ST",0,0,"763 HOEFER","LARC-VEH.ACCESS."
"01-09-2010","1700 BLOCK WASHINGTON ST",55,55,"689 MARTI","LARC-SHOPLIFT"
"01-09-2010","2700 BLOCK PORTER RIDGE RD",20,0,"1621 SCHAMBER","LARC-SELF SERVE GAS"
"01-09-2010","8700 BLOCK S 28TH ST",132,0,"1644 DUNCAN","LARC-SHOPLIFT"
"01-10-2010","2500 BLOCK PINE LAKE RD",11,11,"1597 BANKS","LARC-SHOPLIFT"
"01-10-2010","3400 BLOCK N 35TH CR",1500,0,"764 SCHAAF","LARC-VEH.ACCESS."
"01-10-2010","3400 BLOCK N 35TH STREET CIR",100,0,"764 SCHAAF","LARC-OTHER"
"01-10-2010","5000 BLOCK R ST",8500,8500,"1224 BAUER","AUTO THEFT"
"01-10-2010","1000 BLOCK M ST",410,90,"1533 ELLEY","LARC-FROM BUILDING"
"01-10-2010","2700 BLOCK DOCS DR",1990,0,"1348 FOSLER","LARC-OTHER"
"01-10-2010","1300 BLOCK DAWES AVE",350,0,"763 HOEFER","LARC-FROM MOTOR VEH"
"01-10-2010","2000 BLOCK W O ST",950,0,"1650 JENNINGS","LARC-FROM MOTOR VEH"
"01-10-2010","4300 BLOCK TOUZALIN AVE",50,0,"1533 ELLEY","LARC-OTHER"
"01-10-2010","1300 BLOCK P ST",0,0,"1280 DELANEY","LARC-FROM MOTOR VEH"
"01-10-2010","2600 BLOCK N 70 ST",160,160,"1618 FIELDS","LARC-FROM BUILDING"
"01-10-2010","800 BLOCK RUTLAND ST",2000,2000,"1632 JOHNSON","AUTO THEFT"
"01-10-2010","2400 BLOCK E ST",800,800,"1482 WESCH","LARC-FROM BUILDING"
"01-11-2010","3500 BLOCK HUNTINGTON AVE",170,0,"238 WETZEL","LARC-FROM MOTOR VEH"
"01-11-2010","8400 BLOCK HWY 6",30,0,"1275 LEEDOM","LARC-SELF SERVE GAS"
"01-11-2010","2200 BLOCK N COTNER BLVD",38,0,"1513 WOLBERT","LARC-SELF SERVE GAS"
"01-11-2010","400 BLOCK S CODDINGTON AVE",450,0,"1650 JENNINGS","LARC-VEH.ACCESS."
"01-11-2010","300 BLOCK S 26TH ST",15,0,"3370 KINNEY","LARC-VEH.ACCESS."
"01-11-2010","2200 BLOCK J ST",400,0,"3361 KOERNER","LARC-FROM BUILDING"
"01-11-2010","3400 BLOCK N 85TH ST",626,0,"1586 MARTIN","LARC-SHOPLIFT"
"01-11-2010","",200,0,"1648 LUCE","LARC-FROM BUILDING"
"01-11-2010","2300 BLOCK N 1ST ST",1,0,"1650 JENNINGS","LARC-OTHER"
"01-11-2010","6800 BLOCK S 27TH ST",360,0,"1379 BROWNELL","LARC-SHOPLIFT"
"01-11-2010","5100 BLOCK VAN DORN ST",103,0,"3361 KOERNER","LARC-FROM BUILDING"
"01-11-2010","2000 BLOCK S 27TH ST",1,1,"1572 SCHMIDT","LARC-OTHER"
"01-12-2010","1900 BLOCK G ST",10,0,"1119 BRIGGS","LARC-FROM MOTOR VEH"
"01-12-2010","800 BLOCK W WASHINGTON ST",20,0,"244 CLELAND","LARC-OTHER"
"01-12-2010","",15,0,"1533 ELLEY","LARC-VEH.ACCESS."
"01-12-2010","4300 BLOCK BALDWIN AVE",100,0,"317 BRATT","LARC-VEH.ACCESS."
"01-12-2010","1300 BLOCK F ST",10,0,"689 MARTI","LARC-FROM MOTOR VEH"
"01-12-2010","200 BLOCK N 22ND ST",549,0,"234 KANSIER","LARC-FROM MOTOR VEH"
"01-12-2010","8700 BLOCK S 28TH ST",105,0,"1118 YINDRICK JR.","LARC-SHOPLIFT"
"01-12-2010","3400 BLOCK N 27TH ST",20,20,"1649 WOODS","LARC-SHOPLIFT"
"01-12-2010","4100 BLOCK O ST",5,5,"921 HOLM","LARC-SHOPLIFT"
"01-12-2010","8900 BLOCK ANDERMATT DR",159,0,"1523 LASHLEY","LARC-SHOPLIFT"
"01-12-2010","800 BLOCK FOXCROFT CT",0,0,"1401 WITZEL","AUTO THEFT"
"01-12-2010","3400 BLOCK N 27TH ST",213,213,"1587 FENCL","LARC-SHOPLIFT"
"01-12-2010","1600 BLOCK S 48TH ST",1500,1500,"1401 WITZEL","AUTO THEFT"
"01-13-2010","1300 BLOCK S 16TH ST",250,0,"956 EHRHORN","LARC-FROM MOTOR VEH"
"01-13-2010","1200 BLOCK N 10TH ST",21,20,"566 WITTWER","LARC-FROM BUILDING"
"01-13-2010","5400 BLOCK S 56TH ST",14,0,"1222 WHERRY","LARC-SHOPLIFT"
"01-13-2010","2200 BLOCK J ST",90,0,"1189 STUMBO","LARC-FROM BUILDING"
"01-13-2010","3900 BLOCK INDUSTRIAL AVE",250,0,"799 SCOTT","LARC-VEH.ACCESS."
"01-13-2010","600 BLOCK S 19TH ST",100,0,"956 EHRHORN","LARC-COIN OP MACH"
"01-13-2010","6800 BLOCK TELLURIDE DR",160,0,"963 MANGELS","LARC-VEH.ACCESS."
"01-13-2010","700 BLOCK S 11TH ST",210,0,"1290 WITZEL","LARC-COIN OP MACH"
"01-13-2010","4700 BLOCK N 27TH ST",455,52,"1578 MIKA","LARC-OTHER"
"01-13-2010","5000 BLOCK N 27TH ST",6,0,"1355 JUNKER","LARC-FROM BUILDING"
"01-13-2010","3800 BLOCK ST MARYS AVE",100,0,"1290 WITZEL","LARC-FROM BUILDING"
"01-13-2010","200 BLOCK NW 14TH ST",150,0,"1578 MIKA","LARC-FROM BUILDING"
"01-14-2010","6300 BLOCK FREMONT ST",525,0,"317 BRATT","LARC-VEH.ACCESS."
"01-14-2010","5500 BLOCK S 31ST ST",280,0,"792 HUNT","LARC-VEH.ACCESS."
"01-14-2010","4700 BLOCK DOUGLAS CIR",1705,0,"238 WETZEL","LARC-FROM MOTOR VEH"
"01-14-2010","500 BLOCK S 7TH ST",415,0,"1647 TRAN","LARC-FROM BUILDING"
"01-14-2010","54TH/MADISON",120,0,"317 BRATT","LARC-VEH.ACCESS."
"01-14-2010","1500 BLOCK S 58TH ST",21400,21400,"716 DOMEIER","LARC-FROM BUILDING"
"01-14-2010","4400 BLOCK F ST",100,0,"337 STANDLEY","LARC-OTHER"
"01-14-2010","6700 BLOCK COLFAX AVE",300,0,"597 BURDA","LARC-OTHER"
"01-14-2010","5400 BLOCK MADISON AVE",147,0,"1527 LAMB","LARC-VEH.ACCESS."
"01-14-2010","2000 BLOCK VAN DORN ST",552,0,"1365 WINKLER","LARC-FROM BUILDING"
"01-14-2010","4500 BLOCK BALDWIN AVE",10,0,"1355 JUNKER","LARC-VEH.ACCESS."
"01-14-2010","8300 BLOCK LEIGHTON AVE",101,0,"1616 COOPER","LARC-COIN OP MACH"
"01-14-2010","3800 BLOCK N 66TH ST",25,25,"1517 WUNDERLICH","LARC-FROM BUILDING"
"01-14-2010","4200 BLOCK S 27TH ST",200,0,"1307 WAGNER","LARC-VEH.ACCESS."
"01-15-2010","1400 BLOCK O ST",28,28,"1623 DLOUHY","LARC-FROM BUILDING"
"01-15-2010","1200 BLOCK S 21ST ST",0,0,"1589 LOPEZ","LARC-FROM MOTOR VEH"
"01-15-2010","13TH/N",154,39,"1404 WILHELM","LARC-FROM MOTOR VEH"
"01-15-2010","4100 BLOCK NORMAL BLVD",2,0,"716 DOMEIER","LARC-FROM MOTOR VEH"
"01-15-2010","8700 BLOCK ANDERMATT DR",360,260,"551 BURMEISTER","LARC-OTHER"
"01-15-2010","2200 BLOCK J ST",50,0,"1189 STUMBO","LARC-FROM BUILDING"
"01-15-2010","2200 BLOCK J ST",50,0,"1189 STUMBO","LARC-FROM BUILDING"
"01-15-2010","3200 BLOCK MICKAELA LN",57,0,"950 PACHUNKA","LARC-FROM BUILDING"
"01-15-2010","100 BLOCK W O ST",40,0,"745 CUE","LARC-SELF SERVE GAS"
"01-15-2010","1000 BLOCK S 70TH ST",200,0,"805 PUCKET","LARC-FROM BUILDING"
"01-15-2010","1400 BLOCK O ST",68,0,"3370 KINNEY","LARC-FROM BUILDING"
"01-15-2010","3500 BLOCK N 27TH ST",310,310,"799 SCOTT","LARC-SHOPLIFT"
"01-15-2010","5800 BLOCK N 33RD ST",50,0,"1121 BOURG","LARC-VEH.ACCESS."
"01-15-2010","2900 BLOCK S 37TH",234,0,"935 WARD","LARC-FROM BUILDING"
"01-15-2010","2100 BLOCK S 56TH ST",54,0,"1572 SCHMIDT","LARC-SHOPLIFT"
"01-15-2010","4600 BLOCK VINE ST",19,19,"1642 WILKINSON","LARC-SHOPLIFT"
"01-16-2010","2800 BLOCK JAMESON N ST",0,0,"1594 JACOBS","LARC-FROM MOTOR VEH"
"01-16-2010","13TH/O",255,0,"1622 DENZIN","LARC-FROM MOTOR VEH"
"01-16-2010","2500 BLOCK GARFIELD ST",66,0,"885 FLOOD","LARC-FROM MOTOR VEH"
"01-16-2010","3400 BLOCK VILLAGE DR",36,36,"1118 YINDRICK JR.","LARC-SELF SERVE GAS"
"01-16-2010","500 BLOCK SURFSIDE DR",710,0,"783 HINTON","LARC-FROM MOTOR VEH"
"01-16-2010","3600 BLOCK TOUZALIN AVE",1,0,"1280 DELANEY","LARC-FROM BUILDING"
"01-16-2010","4300 BLOCK HUNTINGTON AVE",80,80,"1348 FOSLER","LARC-FROM BUILDING"
"01-16-2010","5600 BLOCK PALACE CT",33,0,"1645 HAUSER","LARC-FROM MOTOR VEH"
"01-16-2010","1500 BLOCK SUPERIOR ST",15,0,"3313 OAKLEY","LARC-VEH.ACCESS."
"01-16-2010","1700 BLOCK B ST",130,0,"1573 VOLLMER","LARC-VEH.ACCESS."
"01-16-2010","2100 BLOCK S 17TH ST",7,0,"1365 WINKLER","LARC-SHOPLIFT"
"01-17-2010","1400 BLOCK N COTNER BLVD",60,0,"1224 BAUER","LARC-FROM BUILDING"
"01-17-2010","7200 BLOCK WHITEWATER LN",355,355,"927 ROBERTS","LARC-FROM MOTOR VEH"
"01-17-2010","7400 BLOCK WHITEWATER LN",20,20,"764 SCHAAF","LARC-FROM MOTOR VEH"
"01-17-2010","7300 BLOCK WHITEWATER LN",11,10,"927 ROBERTS","LARC-FROM MOTOR VEH"
"01-17-2010","200 BLOCK PARKSIDE LN",73,73,"1438 HILGER","LARC-OTHER"
"01-17-2010","4600 BLOCK BRIARPARK ST",586,526,"1442 PAVELKA","LARC-FROM BUILDING"
"01-17-2010","5700 BLOCK S 85TH ST",20,20,"1118 YINDRICK JR.","LARC-SELF SERVE GAS"
"01-17-2010","1900 BLOCK PRAIRIE LN",40,40,"1346 LORE","LARC-FROM MOTOR VEH"
"01-17-2010","2200 BLOCK J ST",189,0,"965 FITCH","LARC-FROM MOTOR VEH"
"01-17-2010","5600 BLOCK NW 1ST ST",2101,2000,"1253 BRENNER","AUTO THEFT"
"01-17-2010","1400 BLOCK SOUTH ST",87,0,"1646 JENSEN","LARC-VEH.ACCESS."
"01-17-2010","3400 BLOCK N 27TH ST",695,695,"764 SCHAAF","LARC-SHOPLIFT"
"01-17-2010","600 BLOCK N 58TH ST",780,0,"1642 WILKINSON","LARC-FROM BUILDING"
"01-17-2010","100 BLOCK W O ST",1,0,"1643 HITE","LARC-SHOPLIFT"
"01-17-2010","2800 BLOCK WOODS BLVD",0,0,"1644 DUNCAN","LARC-FROM MOTOR VEH"
"01-17-2010","2800 BLOCK WOODS BLVD",46,0,"1644 DUNCAN","LARC-FROM MOTOR VEH"
"01-17-2010","1700 BLOCK SOUTH ST",45,0,"830 CODY","LARC-SHOPLIFT"
"01-17-2010","4300 BLOCK CORNHUSKER HWY",920,0,"1598 ERNST","LARC-FROM BUILDING"
"01-18-2010","5200 BLOCK SUPERIOR ST",375,0,"1598 ERNST","LARC-FROM MOTOR VEH"
"01-18-2010","7100 BLOCK PIONEERS BLVD",16,0,"805 PUCKET","LARC-SHOPLIFT"
"01-18-2010","3400 BLOCK R ST",475,0,"1346 LORE","LARC-FROM BUILDING"
"01-18-2010","",768,0,"760 HENSEL","LARC-FROM MOTOR VEH"
"01-18-2010","8700 BLOCK S 28TH ST",34,34,"935 WARD","LARC-SHOPLIFT"
"01-18-2010","5300 BLOCK COLBY ST",670,0,"1180 KENNETT","LARC-FROM MOTOR VEH"
"01-18-2010","5000 BLOCK RENT-WORTH CT",0,0,"1536 WINTERBAUER","LARC-OTHER"
"01-18-2010","5500 BLOCK S 48TH ST",148,0,"1604 WIGGINS","LARC-SHOPLIFT"
"01-18-2010","600 BLOCK S 10TH ST",2,0,"1636 GRATZ","LARC-SHOPLIFT"
"01-18-2010","6400 BLOCK PLATTE AVE",200,0,"1638 LIND","LARC-OTHER"
"01-18-2010","3500 BLOCK N 27TH ST",27,27,"763 HOEFER","LARC-SHOPLIFT"
"01-18-2010","4200 BLOCK S 27TH ST",154,154,"1582 GROUND","LARC-SHOPLIFT"
"01-18-2010","3400 BLOCK CLEVELAND ST",330,330,"1482 WESCH","LARC-FROM BUILDING"
"01-18-2010","6800 BLOCK S 27TH ST",56,56,"877 HURLEY","LARC-SHOPLIFT"
"01-18-2010","5500 BLOCK S 48TH ST",15,0,"1523 LASHLEY","LARC-SHOPLIFT"
"01-18-2010","2000 BLOCK S 27TH ST",12,0,"1604 WIGGINS","LARC-SHOPLIFT"
"01-18-2010","",13,0,"417 SCISSORS-DOMGARD","LARC-VEH.ACCESS."
"01-18-2010","6600 BLOCK PIONEERS BLVD",71,0,"1582 GROUND","LARC-FROM BUILDING"
"01-18-2010","900 BLOCK W O ST",19,0,"1335 KAUFMAN","LARC-SHOPLIFT"
"01-19-2010","4100 BLOCK NORMAL BLVD",187,2,"1633 HALLOWELL","LARC-FROM MOTOR VEH"
"01-19-2010","12TH/D",2000,2000,"1623 DLOUHY","AUTO THEFT"
"01-19-2010","6100 BLOCK S 34TH ST",300,300,"1205 HERRERA","LARC-FROM BUILDING"
"01-19-2010","4600 BLOCK GREENWOOD ST",200,0,"317 BRATT","LARC-OTHER"
"01-19-2010","1800 BLOCK GARFIELD ST",50,50,"1646 JENSEN","LARC-FROM BUILDING"
"01-19-2010","800 BLOCK N 17TH ST",42,0,"1346 LORE","LARC-FROM BUILDING"
"01-19-2010","5500 BLOCK S 56TH ST",150,0,"1443 NORTON","LARC-VEH.ACCESS."
"01-19-2010","4400 BLOCK OLD CHENEY RD",25,0,"1118 YINDRICK JR.","LARC-FROM BUILDING"
"01-19-2010","4400 BLOCK OLD CHENEY RD",60,0,"1118 YINDRICK JR.","LARC-FROM BUILDING"
"01-19-2010","1900 BLOCK E ST",10,0,"689 MARTI","LARC-VEH.ACCESS."
"01-19-2010","5600 BLOCK SALT VALLEY VW",2380,0,"965 FITCH","LARC-FROM BUILDING"
"01-19-2010","2700 BLOCK PINE LAKE RD",25000,25000,"1604 WIGGINS","AUTO THEFT"
"01-19-2010","3500 BLOCK N 27TH ST",17,17,"1632 JOHNSON","LARC-SHOPLIFT"
"01-19-2010","4100 BLOCK S 48TH ST",36,0,"1645 HAUSER","LARC-SELF SERVE GAS"
"01-19-2010","1700 BLOCK WASHINGTON ST",5,5,"1165 DANSON","LARC-SHOPLIFT"
